"General","Général"
"Website Mapping","Correspondance du site web"
"Match Magento website with Pim channel","Correspondance entre le site web et le canal du Pim"
"Import directory","Dossier d'import"
"var/{import_directory}","var/{dossier_import}"
"Click here or drag and drop to add files.","Cliquer ou glisser-déplacer pour ajouter les fichiers."
"Import","Import"
"Website","Site web"
"Channel","Canal"
"Add","Ajouter"
"Options:","Options :"
"Available codes:","Codes disponibles :"
"Example:","Exemple :"
"Start import","Import initialisé"
"Import complete","Import terminé"
"Import id: %1","Identifiant de l'import : %1"
"completed","Terminé"
"Import code is empty","Le code de l'import est vide"
"Import %1 not found","Import %1 introuvable"
"Select import type:","Sélection de l'import :"
"Select file to import:","Sélection du fichier à importer :"
"Waiting for import...","Attente d'un import..."